[0106/160200.482:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0106/164425.556:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0106/180855.515:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0106/182925.517:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0106/201655.504:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0106/202255.565:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0106/214225.571:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0106/215725.511:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0106/224525.558:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0107/010226.432:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0107/020455.500:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0107/020625.569:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0107/041455.563:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0107/043525.554:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0107/060455.563:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0107/063455.543:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
